GeographyKey,ContinentName,CityName,StateProvinceName,RegionCountryName
756,Europe,Landstuhl,Rhineland-Palatinate,Germany 
757,Europe,Lisbon,Lisboa Region,Portugal
899,North America,Orlando,Florida,United States
826,North America,Falmouth,Massachusetts,United States
759,Europe,Lyon,Rhone-Alpes ,France
769,Europe,Bamberg,Bavaria,Germany 
773,Europe,Stockholm,Stockholms,Sweden 
774,Europe,Stockport,England ,United Kingdom
792,North America,Back River,Maryland,United States
777,Europe,Toulouse,Midi-Pyrenees,France
873,North America,Martinsville ,Virginia,United States
917,North America,Quincy,Massachusetts,United States
860,North America,Lakeland,Florida,United States
794,North America,Baltimore,Maryland,United States
878,North America,Milwaukee,Wisconsin,United States
807,North America,Cape Canaveral,Florida,United States
802,North America,Boston,Massachusetts,United States
813,North America,Cle Elum,Washington,United States
825,North America,Fall City,Washington,United States
815,North America,Dallas,Texas,United States
818,North America,Denver,Colorado,United States
833,North America,Fredericksburg,Virginia,United States
821,North America,East Troy,Wisconsin,United States
943,North America,Trenton,New Jersey,United States
831,North America,Fort Worth,Texas,United States
835,North America,Germantown,Maryland,United States
890,North America,New York,New York,United States
908,North America,Paterson,New Jersey,United States
844,North America,Haverhill,Massachusetts,United States
895,North America,Northampton,Massachusetts,United States
872,North America,Marshall,Texas,United States
876,North America,Midland,Texas,United States
862,North America,Lewiston,Maine,United States
927,North America,Sedalia,Colorado,United States
866,North America,Longview,Texas,United States
871,North America,Manitowoc,Wisconsin,United States
891,North America,Newark,New Jersey,United States
883,North America,Nantucket,Massachusetts,United States
884,North America,Naples,Florida,United States
889,North America,New London,Connecticut,United States
929,North America,Shreveport,Texas,United States
904,North America,Parker,Colorado,United States
948,North America,Waterbury,Connecticut,United States
834,North America,Georgetown,Texas,United States
855,North America,Kennebunkport,Maine,United States
933,North America,Spring,Texas,United States
571,North America,Westminster,British Columbia,Canada
901,North America,Oshkosh,Wisconsin,United States
932,North America,South Portland,Maine,United States
786,North America,Appleton,Wisconsin,United States
867,North America,Loveland,Colorado,United States
926,North America,Sebring,Florida,United States
939,North America,Texas City,Texas,United States
828,North America,Fort Atkinson,Wisconsin,United States
793,North America,Bacliff,Texas,United States
942,North America,Toronto,Ontario,Canada
677,North America,Redmond,Washington,United States
915,North America,Queen Anne's County,Maryland,United States
947,North America,Wapato,Washington,United States
879,North America,Minden,Texas,United States
945,North America,Vineland,New Jersey,United States
886,North America,New Brunswick ,New Jersey,United States
922,North America,Rochester,New York,United States
838,North America,Granger,Washington,United States
944,North America,Veradale,Washington,United States
778,Europe,Valletta,Valletta,Malta
851,North America,Humble,Texas,United States
811,North America,Charlottesville ,Virginia,United States
760,Europe,Madrid,Madrid,Spain
848,North America,Holyoke,Massachusetts,United States
843,North America,Hartford,Connecticut,United States
869,North America,Lynn,Massachusetts,United States
812,North America,Cheney,Washington,United States
936,North America,Syracuse,New York,United States
733,Asia,Urumqi,Xinjiang,China
627,North America,Everett,Washington,United States
845,North America,Hillsboro,Texas,United States
501,Europe,Leeds,England,United Kingdom
952,North America,Worcester,Massachusetts,United States
791,North America,Austin,Texas,United States
782,North America,Albany,New York,United States
930,North America,Snoqualmie,Washington,United States
898,North America,Oregon,Wisconsin,United States
789,North America,Attleboro,Massachusetts,United States
950,North America,Wheat Ridge,Colorado,United States
854,North America,Jersey City,New Jersey,United States
934,North America,Stoughton,Wisconsin,United States
852,North America,Ithaca,New York,United States
803,North America,Boulder,Colorado,United States
796,North America,Bar Harbor,Maine,United States
846,North America,Hingham,Massachusetts,United States
938,North America,Tampa,Florida,United States
713,Asia,Canberra,Molonglo,Australia
874,North America,Menasha,Wisconsin,United States
767,Europe,Nice,Alpes-Maritimes,France
868,North America,Lowell,Massachusetts,United States
911,North America,Plattsburgh,New York,United States
805,North America,Buffalo,New York,United States
801,North America,Bridgeport,Connecticut,United States
900,North America,Orono,Maine,United States
766,Europe,Nantes,Pays de la Loire,France
875,North America,Miami,Florida,United States
924,North America,Russellville,Texas,United States
859,North America,Lafayette,Colorado,United States
809,North America,Castle Rock,Colorado,United States
749,Europe,Firenze,Province of Florence,Italy    
790,North America,Aurora,Colorado,United States
780,Europe,Warsaw,Warszawa,Poland 
925,North America,San Antonio,Texas,United States
836,North America,Grand Junction,Colorado,United States
722,Asia,Nagoya ,Chubu,Japan
819,North America,Desoto,Texas,United States
799,North America,Berthoud,Colorado,United States
751,Europe,Glasgow,Scotland,United Kingdom
742,Europe,Carlisle,England ,United Kingdom
830,North America,Fort Lauderdale,Florida,United States
820,North America,East Orange ,New Jersey,United States
905,North America,Parkville,Maryland,United States
719,Asia,Kyoto ,Kansai,Japan
762,Europe,Marseille,Provence-Alpes-Cote d'Azur,France
779,Europe,Venezia,Venice,Italy    
